id,egcs,ercs,erAtt
1,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",39560.0
2,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",39371.0
3,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",39203.0
4,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",39028.0
5,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",38982.0
6,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",38695.0
7,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",38629.0
8,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",37876.0
9,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",33098.0
10,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",31238.0
11,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",35087.0
12,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",29941.0
13,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",29998.0
14,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",23425.0
15,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",23197.0
16,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",23105.0
17,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",22982.0
18,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",22981.0
19,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",22895.0
20,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",22884.0
21,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21876.0
22,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21773.0
23,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21736.0
24,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21690.0
25,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21608.0
26,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21564.0
27,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21481.0
28,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21432.0
29,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21310.0
30,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",20129.0
31,United Kingdom,Afinna ONE - Letsdial,18665.0
32,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",18208.0
33,United Kingdom,Afinna ONE - Letsdial,17962.0
34,United Kingdom,Afinna ONE - Letsdial,17337.0
35,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",16384.0
36,United Kingdom,Afinna ONE - Letsdial,15980.0
37,United Kingdom,Afinna ONE - Letsdial,15921.0
38,United Kingdom,Afinna ONE - Letsdial,15060.0
39,United Kingdom,Afinna ONE - Letsdial,14930.0
40,United Kingdom,Afinna ONE - Letsdial,14508.0
41,United Kingdom,Afinna ONE - Letsdial,14216.0
42,United Kingdom,Afinna ONE - Letsdial,14159.0
43,United Kingdom,Afinna ONE - Letsdial,12825.0
44,United Kingdom,Afinna ONE - Letsdial,12385.0
45,United Kingdom,Afinna ONE - Letsdial,11325.0
46,United Kingdom,VOIPBOXX - Ajoxi,10447.0
47,Spain,IT DECISION Techopen,9973.0
48,United Kingdom,VOIPBOXX - Ajoxi,9589.0
49,United Kingdom,Afinna ONE - Letsdial,9257.0
50,United Kingdom,VOIPBOXX - Ajoxi,9178.0
51,United Kingdom,Afinna ONE - Letsdial,9177.0
52,Brazil,Sihai telecom,9027.0
53,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",8182.0
54,Brazil,Sihai telecom,7924.0
55,Spain,IT DECISION Techopen,10079.0
56,Spain,IT DECISION Techopen,7586.0
57,Bangladesh,Alfacall Limited Ajoxi,7412.0
